sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tumor_or_normal	tissue_id	DOI	sample_read_count	mapped_rpm
IC284	HPV52	7942	24	0	2533	0.319	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	145.755774054258
IC284	HPV42	7917	14	0	1293	0.163	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	85.0242015316503
IC284	HPV45	7858	5	0	524	0.067	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	30.3657862613037
IC284	HPV73	7700	5	0	410	0.053	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	30.3657862613037
IC284	HPV33	7909	2	0	219	0.028	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	12.1463145045215
IC044	HPV16	7906	96093	2353	7883	0.997	Tumor	Anal	10.3390/cancers11121846	81436	1179981.82621936
IC017	HPV16	7906	266289	1108	7907	1	Tumor	Anal	10.3390/cancers11121846	250280	1063964.35991689
IC017	HPV52	7942	39	0	2969	0.374	Tumor	Anal	10.3390/cancers11121846	250280	155.825475467476
IC017	HPV31	7912	14	0	1144	0.145	Tumor	Anal	10.3390/cancers11121846	250280	55.937350167812
IC017	HPV18	7857	4	0	227	0.029	Tumor	Anal	10.3390/cancers11121846	250280	15.9821000479463
IC113	HPV16	7906	25139	407	7861	0.994	Tumor	Cervical	10.1038/s41416-020-01153-4	37246	674944.960532675
IC113	HPV31	7912	79	0	5109	0.646	Tumor	Cervical	10.1038/s41416-020-01153-4	37246	2121.03313107448
IC113	HPV73	7700	36	0	2881	0.374	Tumor	Cervical	10.1038/s41416-020-01153-4	37246	966.546743274446
IC113	HPV18	7857	4	0	408	0.052	Tumor	Cervical	10.1038/s41416-020-01153-4	37246	107.39408258605
IC113	HPV53	7859	4	0	402	0.051	Tumor	Cervical	10.1038/s41416-020-01153-4	37246	107.39408258605
IC062	HPV16	7906	5499	44	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	14360	382938.718662953
IC062	HPV18	7857	1	0	135	0.017	Tumor	Cervical	10.1038/s41416-020-01153-4	14360	69.6378830083566
IC166	HPV16	7906	11152	76	7891	0.998	Tumor	Cervical	10.1038/s41416-020-01153-4	25771	432734.468976757
IC166	HPV82	7870	126	0	6595	0.838	Tumor	Cervical	10.1038/s41416-020-01153-4	25771	4889.21656125102
IC166	HPV33	7909	89	0	5498	0.695	Tumor	Cervical	10.1038/s41416-020-01153-4	25771	3453.49423770905
IC166	HPV45	7858	3	0	404	0.051	Tumor	Cervical	10.1038/s41416-020-01153-4	25771	116.409918125024
IC134	HPV16	7906	14191	225	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	38136	372115.586322635
IC134	HPV33	7909	22	0	1971	0.249	Tumor	Cervical	10.1038/s41416-020-01153-4	38136	576.882735473044
IC134	HPV35	7879	14	0	1503	0.191	Tumor	Cervical	10.1038/s41416-020-01153-4	38136	367.107195301028
IC134	HPV18	7857	9	0	905	0.115	Tumor	Cervical	10.1038/s41416-020-01153-4	38136	235.997482693518
IC134	HPV31	7912	2	0	187	0.024	Tumor	Cervical	10.1038/s41416-020-01153-4	38136	52.443885043004
IC030	HPV16	7906	749907	161	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	1033503.44612781
IC030	HPV52	7942	104	0	6209	0.782	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	143.330250814157
IC030	HPV33	7909	97	0	5940	0.751	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	133.683022393974
IC030	HPV31	7912	49	0	3208	0.405	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	67.5305989412856
IC030	HPV18	7857	28	0	2562	0.326	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	38.5889136807346
IC030	HPV35	7879	26	0	2192	0.278	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	35.8325627035393
IC030	HPV39	7833	8	0	560	0.071	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	11.0254039087813
IC030	HPV51	7808	2	0	304	0.039	Tumor	Cervical	10.1038/s41416-020-01153-4	725597	2.75635097719533
IC338	HPV16	7906	646715	1850	7907	1	Tumor	Anal	10.3390/cancers11121846	1107905	583727.846701658
IC338	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	1257	0	7889	0.998	Tumor	Anal	10.3390/cancers11121846	1107905	1134.57381273665
