Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Aug 15 21:54:42	Aug 15 22:04:49	Aug 15 22:56:44	73.97	64001563	202	47045506	73.51%	199.52	34381435	34128076	34097605	229834	29557	24439	0.52%	0.00%	1.44	0.01%	1.58	3393071	5.30%	9078	0.01%	39519	0.06%	13506521	21.10%	7868	0.01%	0	0.00%
Aug 16 02:09:30	Aug 16 02:19:06	Aug 16 03:05:02	104.31	79854702	202	73428196	91.95%	199.84	47244437	46564741	46777119	362443	55663	49212	0.57%	0.01%	1.75	0.01%	1.58	2335294	2.92%	31318	0.04%	29322	0.04%	4010483	5.02%	20089	0.03%	0	0.00%
Aug 15 22:57:38	Aug 15 23:06:54	Aug 15 23:58:36	105.52	90921109	202	84060034	92.45%	200.01	47542139	46796626	47052814	374842	64361	50122	0.54%	0.01%	1.72	0.01%	1.55	2589718	2.85%	26854	0.03%	33820	0.04%	4186052	4.60%	24631	0.03%	0	0.00%
Aug 15 22:04:32	Aug 15 22:14:04	Aug 15 23:01:23	104.88	82705928	202	76087849	92.00%	199.90	52134874	51555577	51661335	371515	60090	41934	0.56%	0.01%	1.81	0.01%	1.61	2805777	3.39%	12495	0.02%	14747	0.02%	3778035	4.57%	7025	0.01%	0	0.00%
Aug 15 23:27:52	Aug 15 23:36:44	Aug 16 00:28:39	108.19	93613508	202	86594395	92.50%	199.99	50426277	49432964	49895457	422885	53175	54760	0.57%	0.01%	1.68	0.01%	1.55	2660362	2.84%	22768	0.02%	33252	0.04%	4279394	4.57%	23337	0.02%	0	0.00%
Aug 15 23:20:00	Aug 15 23:29:31	Aug 16 00:15:23	105.92	80972765	202	75192579	92.86%	200.02	43490116	42719341	43024017	357984	60801	47314	0.54%	0.01%	1.71	0.01%	1.56	2166601	2.68%	30902	0.04%	29919	0.04%	3465822	4.28%	86942	0.11%	0	0.00%
Aug 15 23:02:15	Aug 15 23:09:25	Aug 15 23:55:29	100.13	76879443	202	68550800	89.17%	199.99	39545176	38843639	39159208	307223	38749	39996	0.55%	0.01%	1.66	0.01%	1.61	1900956	2.47%	24150	0.03%	41588	0.05%	6344134	8.25%	17815	0.02%	0	0.00%
Aug 15 21:54:01	Aug 15 22:07:14	Aug 15 22:44:23	75.03	46458074	198	31470785	67.74%	195.69	21709060	21420381	21506317	159765	23231	19747	0.62%	0.01%	1.43	0.01%	1.51	1759441	3.79%	7338	0.02%	33655	0.07%	13181298	28.37%	5557	0.01%	0	0.00%
Aug 16 00:19:28	Aug 16 00:27:34	Aug 16 01:49:46	85.40	116992824	202	98563879	84.25%	195.74	67534111	66552360	66981470	435748	62339	54554	1.00%	0.00%	1.52	0.00%	1.57	5758727	4.92%	34128	0.03%	268603	0.23%	12348716	10.56%	18771	0.02%	0	0.00%
Aug 15 19:04:22	Aug 15 19:21:54	Aug 15 19:21:57	0.00	0	0	0	0.00%	0.00	0	0	0	0	0	0	-nan%	0.00%	0.00	0.00%	0.00	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Aug 15 21:31:42	Aug 15 21:41:03	Aug 15 22:38:12	66.91	63735476	202	32355070	50.76%	199.42	22469196	22201464	22237227	191123	21505	19341	0.65%	0.01%	1.57	0.00%	1.62	1112431	1.75%	7948	0.01%	35300	0.06%	30218421	47.41%	6306	0.01%	0	0.00%
Aug 15 22:39:27	Aug 15 22:48:25	Aug 15 23:40:43	98.15	85551147	202	77322194	90.38%	200.01	46214482	45428788	45763785	344416	58528	47753	0.47%	0.01%	1.54	0.01%	1.57	3607341	4.22%	30214	0.04%	61854	0.07%	4509109	5.27%	20435	0.02%	0	0.00%
Aug 15 23:32:48	Aug 15 23:41:07	Aug 16 00:53:46	85.88	103984009	202	87590476	84.23%	195.71	53464065	52667594	52887527	462042	57026	57470	1.00%	0.01%	1.71	0.00%	1.59	4239163	4.08%	70118	0.07%	284170	0.27%	11715591	11.27%	84491	0.08%	0	0.00%
Aug 16 02:06:38	Aug 16 02:15:22	Aug 16 03:17:53	97.34	101418654	202	90332741	89.07%	199.97	63994787	62687359	63354993	473440	68682	97672	0.48%	0.01%	1.60	0.01%	1.54	5322434	5.25%	34998	0.03%	121271	0.12%	5589402	5.51%	17808	0.02%	0	0.00%
Aug 16 02:06:22	Aug 16 02:14:20	Aug 16 03:33:08	85.26	111970807	202	94349421	84.26%	195.65	64480424	63690924	63876307	479254	69945	54918	1.00%	0.00%	1.54	0.00%	1.57	4591746	4.10%	30479	0.03%	228190	0.20%	12742939	11.38%	28032	0.03%	0	0.00%
