Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Jul 30 21:10:44	Jul 30 21:21:49	Jul 30 22:38:02	78.90	100226851	150	61964526	61.82%	138.81	17223455	16592136	17049958	139890	9932	23675	0.79%	0.01%	1.24	0.01%	1.25	5285030	5.27%	45436	0.05%	92705	0.09%	32726008	32.65%	113146	0.11%	0	0.00%
Jul 30 17:51:39	Jul 30 18:01:42	Jul 30 19:26:25	74.01	104497937	150	59015877	56.48%	138.17	21258142	20484005	21092002	132322	9022	24796	0.86%	0.01%	1.27	0.01%	1.27	6774888	6.48%	46529	0.04%	117772	0.11%	38530796	36.87%	12075	0.01%	0	0.00%
Jul 30 19:35:41	Jul 30 19:45:44	Jul 30 21:07:53	74.55	102066202	150	58993587	57.80%	139.04	17870036	16625067	17705610	126783	8511	29132	0.91%	0.01%	1.27	0.01%	1.29	6032031	5.91%	50363	0.05%	147496	0.14%	36826095	36.08%	16630	0.02%	0	0.00%
Jul 30 20:16:19	Jul 30 20:27:09	Jul 30 21:42:01	80.81	100831470	150	62300891	61.79%	139.54	15351119	14727581	15194317	128201	8642	19959	0.84%	0.01%	1.26	0.01%	1.28	3719093	3.69%	62001	0.06%	87488	0.09%	34638253	34.35%	23744	0.02%	0	0.00%
Jul 30 20:23:46	Jul 30 20:34:45	Jul 30 21:51:39	74.81	95886443	150	54268306	56.60%	139.67	18120829	17688567	17963700	118126	9482	29521	0.94%	0.01%	1.27	0.01%	1.30	5425564	5.66%	57090	0.06%	93048	0.10%	36031665	37.58%	10770	0.01%	0	0.00%
Jul 30 19:36:30	Jul 30 19:46:59	Jul 30 21:28:12	65.17	109944887	150	54180126	49.28%	138.86	10653357	10152435	10536575	96251	5917	14614	0.98%	0.01%	1.26	0.01%	1.27	6345717	5.77%	61295	0.06%	214132	0.19%	49108952	44.67%	34665	0.03%	0	0.00%
Jul 30 20:17:11	Jul 30 20:27:13	Jul 30 21:56:48	76.52	114241657	150	68123601	59.63%	138.94	20044560	19542355	19886638	128004	9340	20578	0.88%	0.01%	1.28	0.01%	1.25	5747019	5.03%	172117	0.15%	127230	0.11%	40047614	35.06%	24076	0.02%	0	0.00%
Jul 30 18:09:07	Jul 30 18:20:28	Jul 30 19:25:42	79.95	86928347	150	52286262	60.15%	140.80	12999754	12579803	12869301	104004	7033	19416	0.91%	0.01%	1.30	0.01%	1.28	4034765	4.64%	56814	0.07%	83845	0.10%	30453832	35.03%	12829	0.01%	0	0.00%
Jul 30 17:53:27	Jul 30 18:05:37	Jul 30 19:15:14	71.89	83412374	150	43464212	52.11%	136.60	13738499	13418168	13610045	95003	8609	24842	0.88%	0.01%	1.20	0.01%	1.24	4859592	5.83%	136425	0.16%	107281	0.13%	34748499	41.66%	96365	0.12%	0	0.00%
Jul 30 20:34:55	Jul 30 20:44:36	Jul 30 22:18:53	76.31	119908500	150	68535107	57.16%	139.63	17438423	16971329	17285449	126464	8895	17615	0.92%	0.01%	1.30	0.01%	1.29	5649855	4.71%	63007	0.05%	107201	0.09%	45531045	37.97%	22285	0.02%	0	0.00%
